年度,被申訴人,申訴人,協商日,爭議內容
109,無限界滑走有限公司,李○○,1090401,參加日本滑雪行程爭議
109,運匠國際事業有限公司,陳○○,1090331,運送貨物賠償爭議
109,台灣虎航股份有限公司,陳○○,1090330,機票退票消費爭議
109,食我網路股份有限公司,張○○,1090325,軟體服務退費爭議
109,瑞士商斯沃琪瑞表遠東股份有限公司台灣分公司,鍾○○,1090324,手錶維修爭議
109,富邦媒體科技股份有限公司,李○○,1090323,網路購物消費爭議
109,Lady's nails工作室,巫○○,1090318,美容課程退費爭議
109,賽兒可國際事業有限公司,程○○,1090317,美容課程退費爭議
109,新地國際有限公司,王○○,1090317,網路購物退貨爭議
109,全家便利股份有限公司新莊學輔分公司,孫○○,1090317,點數兌換商品爭議
109,富胖達股份有限公司,孫○○,1090316,美食外送消費爭議
109,好才國際有限公司,范○○,1090316,網購福袋退貨爭議
109,露天賣家帳號：love777369,郭○○,1090316,通訊交易消費爭議
109,潔客幫股份有限公司,楊○○,1090313,家庭清潔損害消費爭議
109,音饗科技事業股份有限公司,鄭○○,1090312,耳機保固維修爭議
109,思慕爾國際有限公司,李○○,1090312,美容課程退費爭議
109,賽兒可國際事業有限公司,張○○,1090311,美容課程退費爭議
109,馬來西亞商馬亞洲航空有限公司,陳○○,1090311,機票改、退票爭議
109,蔚藍海岸婚紗公司,蔡○○,1090310,婚紗攝影退費爭議
109,水映有限公司,柯○○,1090306,網購福袋退貨爭議
109,燦星國際旅行社股份有限公司,陳○○,1090305,機票改票退票爭議
109,樂購蝦皮股份有限公司,王○○,1090304,通訊交易消費爭議
109,台灣英旗互動娛樂有限公司,陳○○,1090303,線上遊戲消費爭議
109,Secret made.,林○○,1090302,購買流浪包消費爭議
109,遊戲橘子數位科技股份有限公司,楊○○,1090227,網路連線遊戲消費爭議
109,智擎數位科技股份有限公司,潘○○,1090227,網路課程消費爭議
109,鼎威手機維修中心,山○○,1090226,維修手機螢幕消費爭議
109,台灣華特迪士尼股份有限公司,張○○,1090226,首場預售票贈品爭議
109,新加坡商拍拖有限公司,王○○,1090225,協議終止契約退費爭議
109,富胖達股份有限公司,魏○○,1090225,美食外送消費爭議
109,yoyo mall,陳○○,1090225,通訊交易消費爭議
109,仲信資融股份有限公司,馬○○,1090225,網路課程消費爭議
109,智擎數位科技股份有限公司,馬○○,1090225,網路課程消費爭議
109,佶事通小客車租賃股份有限公司,張○○,1090224,汽車租賃消費爭議
109,伊黎瑪雅有限公司,賴○○,1090224,美容產品退費爭議
109,卡芮咖女皇殿堂,閻○○,1090224,美容美甲消費爭議
109,保捷康物業管理服務股份有限公司,楊○○,1090221,青少年育樂中心成長班研習活動退費爭議
109,欣芃 SPA,牟○○,1090221,美容課程退費爭議
109,張永毅,郭○○,1090221,解除修繕家具契約退費爭議
109,台灣樂天市場股份有限公司、樂天賣家: 建軍電器,江○○,1090219,網路購物消費爭議
109,福迪有限公司,吳○○,1090219,商品瑕疵損害賠償爭議
109,雅虎賣家帳號：Y8262708251,李○○,1090219,網路購物消費爭議
109,優適房屋修繕,林○○,1090215,房屋漏水修繕爭議
109,台灣威富品牌有限公司,許○○,1090213,網購履約爭議
109,新加坡商競舞電競有限公司,鍾○○,1090212,網路連線遊戲消費爭議
109,荷蘭商蔻馳皮件股份有限公司,簡○○,1090211,皮包品質爭議
109,真愛久久資訊網有限公司,劉○○,1090211,交友服務解約爭議
109,智擎數位科技股份有限公司,林○○,1090211,學習教材解約爭議
109,蝦皮賣家帳號：smin88,白○○,1090210,網路購物消費爭議
109,易亨數位行銷有限公司,蕭○○,1090206,線上遊戲退費爭議
109,金士曼 SPA舒壓會館,陳○○,1090205,解除買賣契約退費爭議
109,神腦國際企業股份有限公司,都○○,1090131,手機維修爭議
109,愛斯頓國際有限公司,蘇○○,1090130,網路購物消費爭議
109,蝦皮賣家帳號：chuanhoney,林○○,1090121,網路購物消費爭議
109,蝦皮賣家帳號：wingleo0822,陳○○,1090121,網路購物消費爭議
109,仲信資融股份有限公司,曹○○,1090121,學習教材解約爭議
109,饒美惠,陳○○,1090121,解除家具買賣契約退費爭議
109,雅虎賣家帳號：Y0250140369,曾○○,1090120,網路購物消費爭議
109,富邦媒體科技股份有限公司,張○○,1090120,網路購物消費爭議
109,峻深汽車,李○○,1090120,購車貸款及車輛瑕疵爭議
109,蝦皮賣家：m9aiisud,劉○○,1090117,網路購物爭議
109,全民花店,張○○,1090117,訂購花束消費爭議
109,特威茶葉有限公司,廖○○,1090116,茶葉商品瑕疵消費爭議
109,香港商蘋果日報出版發展有限公司,潘○○,1090116,訂報續約消費爭議
109,露天市集國際資訊股份有限公司、賣家帳號：xbox360,蔣○○,1090115,網購履約及退費爭議
109,遊戲橘子數位科技股份有限公司,蔡○○,1090114,線上遊戲帳號盜用爭議
109,聯新財金管理顧問有限公司,黃○○,1090113,債務整合服務消費爭議
109,新展財富管理顧問有限公司,黃○○,1090113,債務整合服務消費爭議
109,創業家兄弟股份有限公司,劉○○,1090113,網購生鮮產品爭議
109,億家具批發倉庫(五股分店),張○○,1090109,損害賠償爭議
