NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
日商關電工股份有限公司台灣分公司,北市水證甲字第002563號,南京西路10號10樓,清水健二,302939.401,2772848.3
凡中工程股份有限公司,北市水證甲字第002865號,林森北路627號6樓之5,陳貴國,303051.808,2773305.586
潤弘精密工程事業股份有限公司,北市水證甲字第002692號,八德路2段308號10樓,李志宏,304745.743,2771079.785
上鑽電業行有限公司,北市水證丙字第000166號,八德路2段312巷43號1樓,鍾良昌,304823.904,2770954.117
吉騰連合工程股份有限公司,北市水證甲字第002830號,合江街55巷11號1樓,雷德威,302895.017,2771679.196
鐿錩工程股份有限公司,北市水證甲字第002683號,南京東路6段461號2樓之3,林顯祥,304875.175,2771895.705
大祥水電行,北市水證甲字第003156號,合江街70巷19號,徐玉麟,304331.342,2772201.135
順盛工程有限公司,北市水證甲字第000833號,吉林路394號1樓,陳榮傑,303113.158,2773060.089
華盛工程有限公司,北市水證甲字第000168號,吉林路394號1樓,陳偉綺,303113.158,2773060.089
和新機電管理股份有限公司,北市水證甲字第002812號,明水路593號地下1樓,過錦湘,305624.721,2774887.011
傑和機電工程股份有限公司,北市水證甲字第002784號,撫順街37號5樓之2,賴俊文,302420.465,2772908.583
兆輝工程有限公司,北市水證甲字第000956號,敬業三路180號1樓,許力文,306163.563,2774587.32
邦固水電工程股份有限公司,北市水證甲字第003164號,汀州路三段62號二樓,楊睿軒,303644,2767592
中擎工程股份有限公司,北市水證甲字第002607號,建國北路2段145號11樓,王為訓,304216.142,2772670.374
緯豐營造股份有限公司,北市水證甲字第003037號,松德路12號3樓,黃柏堯,308262,2770303
錦源工程有限公司,北市水證甲字第000193號,建國北路1段69號10樓,王文彬,304198.984,2771541.038
上登水電工程有限公司,北市水證乙字第000186號,金龍路157號,陳秀霞,309419,2775481
上準工程有限公司,北市水證甲字第002912號,建國北路2段88號8樓,陳瓊茶,304131.391,2772109.481
承昌水電行,北市水證甲字第002765號,莊敬路423巷7弄1號1樓,王重國,303013.599,2772541.481
亞詮機電工程股份有限公司,北市水證甲字第002857號,建國北路1段88巷10號地下樓,郭志群,304055.945,2771381.269
